sha256,duplicate_count,filename,extension,relative_path,canonical
c9f381df870a7052b920926ada4ede30c881f2c77f946a88896f248d1bb011f6,4,8.doc,.doc,SMQ BIBLES\weekends\complicated questions\riddles\8.doc,True
c9f381df870a7052b920926ada4ede30c881f2c77f946a88896f248d1bb011f6,4,ROUND5.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8 FA\ROUND5.doc,False
c9f381df870a7052b920926ada4ede30c881f2c77f946a88896f248d1bb011f6,4,ROUND5.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST8\ROUND5.doc,False
c9f381df870a7052b920926ada4ede30c881f2c77f946a88896f248d1bb011f6,4,ROUND5.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST7 FA\CONTEST8 FA\ROUND5.doc,False
fe119fda227a07358ba77651913a5ad8e9d80d58b5dd511cbe0967a4500ce7ce,4,1.doc,.doc,SMQ BIBLES\weekends\complicated questions\true or false\1.doc,True
fe119fda227a07358ba77651913a5ad8e9d80d58b5dd511cbe0967a4500ce7ce,4,ROUND 4.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1 GA\ROUND 4.doc,False
fe119fda227a07358ba77651913a5ad8e9d80d58b5dd511cbe0967a4500ce7ce,4,ROUND 4.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST1\ROUND 4.doc,False
fe119fda227a07358ba77651913a5ad8e9d80d58b5dd511cbe0967a4500ce7ce,4,ROUND 4.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST2 GA\CONTEST1 GA\ROUND 4.doc,False
8b7d624e5e94c069e435b9ea4ae8c0ba3f8461acee5b021c8e09b30e3cee1ae3,4,8.doc,.doc,SMQ BIBLES\weekends\complicated questions\true or false\8.doc,True
8b7d624e5e94c069e435b9ea4ae8c0ba3f8461acee5b021c8e09b30e3cee1ae3,4,ROUND4.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8 FA\ROUND4.doc,False
8b7d624e5e94c069e435b9ea4ae8c0ba3f8461acee5b021c8e09b30e3cee1ae3,4,ROUND4.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST8\ROUND4.doc,False
8b7d624e5e94c069e435b9ea4ae8c0ba3f8461acee5b021c8e09b30e3cee1ae3,4,ROUND4.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST7 FA\CONTEST8 FA\ROUND4.doc,False
d480e85eb8b0996edb17ee0729c527dff232c298d2717e2a4420cf3ca718e8d1,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1\ROUND1.doc,True
d480e85eb8b0996edb17ee0729c527dff232c298d2717e2a4420cf3ca718e8d1,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1 GA\ROUND1.doc,False
d480e85eb8b0996edb17ee0729c527dff232c298d2717e2a4420cf3ca718e8d1,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST1\ROUND1.doc,False
d480e85eb8b0996edb17ee0729c527dff232c298d2717e2a4420cf3ca718e8d1,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST2 GA\CONTEST1 GA\ROUND1.doc,False
e72300036879bb1656af10f776da1d180fe19f414c876f8b66239cbebbbfa432,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1\ROUND2.doc,True
e72300036879bb1656af10f776da1d180fe19f414c876f8b66239cbebbbfa432,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST1 GA\ROUND2.doc,False
e72300036879bb1656af10f776da1d180fe19f414c876f8b66239cbebbbfa432,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST1\ROUND2.doc,False
e72300036879bb1656af10f776da1d180fe19f414c876f8b66239cbebbbfa432,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST2 GA\CONTEST1 GA\ROUND2.doc,False
4e0cfc61073e67cd71b59b2c24858bf5f4e9e612f1974310d254043a3435ab44,4,PROBLEM OF THE DAY.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8\PROBLEM OF THE DAY.doc,True
4e0cfc61073e67cd71b59b2c24858bf5f4e9e612f1974310d254043a3435ab44,4,PROBLEM OF THE DAY.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8 FA\PROBLEM OF THE DAY.doc,False
4e0cfc61073e67cd71b59b2c24858bf5f4e9e612f1974310d254043a3435ab44,4,PROBLEM OF THE DAY.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST8\PROBLEM OF THE DAY.doc,False
4e0cfc61073e67cd71b59b2c24858bf5f4e9e612f1974310d254043a3435ab44,4,PROBLEM OF THE DAY.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST7 FA\CONTEST8 FA\PROBLEM OF THE DAY.doc,False
7882ab8834a321accdbbebf1607051f6fdcc21c5518f807ec780314ee96a30b2,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8\ROUND1.doc,True
7882ab8834a321accdbbebf1607051f6fdcc21c5518f807ec780314ee96a30b2,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8 FA\ROUND1.doc,False
7882ab8834a321accdbbebf1607051f6fdcc21c5518f807ec780314ee96a30b2,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST8\ROUND1.doc,False
7882ab8834a321accdbbebf1607051f6fdcc21c5518f807ec780314ee96a30b2,4,ROUND1.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST7 FA\CONTEST8 FA\ROUND1.doc,False
1189bee3a1e3fe5a8d1756b46d2eb0a679c747036de7199aa5e8f4f91aab44a0,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8\ROUND2.doc,True
1189bee3a1e3fe5a8d1756b46d2eb0a679c747036de7199aa5e8f4f91aab44a0,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST8 FA\ROUND2.doc,False
1189bee3a1e3fe5a8d1756b46d2eb0a679c747036de7199aa5e8f4f91aab44a0,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\Ready for Editing\CONTEST8\ROUND2.doc,False
1189bee3a1e3fe5a8d1756b46d2eb0a679c747036de7199aa5e8f4f91aab44a0,4,ROUND2.doc,.doc,SMQ BIBLES\NSMQ 2009\CONTEST7 FA\CONTEST8 FA\ROUND2.doc,False
5fcfc8e435d16d51b2b3e2eaefaf42497fba0c529d5626b12f9471ce65a2f11a,3,Contest 11.doc,.doc,SMQ BIBLES\NSMQ 2012 questions and Answers\Contest 11.doc,True
5fcfc8e435d16d51b2b3e2eaefaf42497fba0c529d5626b12f9471ce65a2f11a,3,Contest 11.doc,.doc,SMQ BIBLES\weekends\practice\SET 3\Contest 11.doc,False
5fcfc8e435d16d51b2b3e2eaefaf42497fba0c529d5626b12f9471ce65a2f11a,3,Contest 11.doc,.doc,SMQ BIBLES\NSMQ 2016 Questions\NSMQ 2012 Questions\Contest 11.doc,False
444b337794ba7d9b6d4751732d2fa08ecbdaa50b211673c985950d826f581adf,3,Contest 12.doc,.doc,SMQ BIBLES\NSMQ 2012 questions and Answers\Contest 12.doc,True
444b337794ba7d9b6d4751732d2fa08ecbdaa50b211673c985950d826f581adf,3,Contest 12.doc,.doc,SMQ BIBLES\weekends\practice\SET 3\Contest 12.doc,False
